Index,Date,Month,Year,USD/BDT
457,28,10,2011,76.25
458,31,10,2011,75.85
459,1,11,2011,75.85
460,2,11,2011,76.35
461,3,11,2011,76.35
462,4,11,2011,76.36
463,7,11,2011,76.35
464,8,11,2011,76.35
465,9,11,2011,76.35
466,10,11,2011,76.45
467,11,11,2011,76.45
468,14,11,2011,76.45
469,15,11,2011,76.55
470,16,11,2011,76.56
471,17,11,2011,76.58
472,18,11,2011,76.68
473,21,11,2011,76.68
474,22,11,2011,76.68
475,23,11,2011,76.48
476,24,11,2011,76.73
477,25,11,2011,76.7
478,28,11,2011,76.675
479,29,11,2011,76.74
480,30,11,2011,76.8
481,1,12,2011,76.86
482,2,12,2011,76.935
483,5,12,2011,76.94
484,6,12,2011,77.13
485,7,12,2011,77.055
486,8,12,2011,77.05
487,9,12,2011,77.33
488,12,12,2011,77.05
489,13,12,2011,77.09
490,14,12,2011,77.11
491,15,12,2011,77.05
492,16,12,2011,77.05
493,19,12,2011,77.06
494,20,12,2011,80.8
495,21,12,2011,80.68
496,22,12,2011,80.84
497,23,12,2011,81.225
498,26,12,2011,81.225
499,27,12,2011,81.475
500,28,12,2011,81.075
501,29,12,2011,81.875
502,30,12,2011,81.83
503,2,1,2012,81.83
504,3,1,2012,81.995
505,4,1,2012,81.995
506,5,1,2012,82.025
507,6,1,2012,82.025
508,9,1,2012,82.025
509,10,1,2012,82.575
510,11,1,2012,82.84
511,12,1,2012,82.97
512,13,1,2012,83.24
513,16,1,2012,83.24
514,17,1,2012,83.675
515,18,1,2012,83.825
516,19,1,2012,83.825
517,20,1,2012,84.125
518,23,1,2012,83.78
519,24,1,2012,84.3
520,25,1,2012,84.395
521,26,1,2012,84.445
522,27,1,2012,84.5
523,30,1,2012,84.45
524,31,1,2012,84.53
525,1,2,2012,84.53
526,2,2,2012,84.465
527,3,2,2012,84.38
528,6,2,2012,84.38
529,7,2,2012,84.375
530,8,2,2012,84.225
531,9,2,2012,84.125
532,10,2,2012,83.83
533,13,2,2012,83.9
534,14,2,2012,83.775
535,15,2,2012,83.775
536,16,2,2012,83.45
537,17,2,2012,82.53
538,20,2,2012,82.7
539,21,2,2012,82.075
540,22,2,2012,82.35
541,23,2,2012,82.075
542,24,2,2012,81.9
543,27,2,2012,81.65
544,28,2,2012,81.725
545,29,2,2012,81.75
546,1,3,2012,81.95
547,2,3,2012,81.92
548,5,3,2012,81.65
549,6,3,2012,81.83
550,7,3,2012,81.7
